"filename", "language", "C++", "XML", "Log", "comment", "blank", "total"
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\AMDVTDriver.vcxproj", "XML", 0, 95, 0, 0, 0, 95
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\Basic.cpp", "C++", 75, 0, 0, 3, 12, 90
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\Basic.h", "C++", 331, 0, 0, 18, 70, 419
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\CasLockers.h", "C++", 84, 0, 0, 11, 6, 101
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\FunctionTest.cpp", "C++", 148, 0, 0, 19, 41, 208
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\Hook.cpp", "C++", 1103, 0, 0, 123, 313, 1539
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\Hook.h", "C++", 570, 0, 0, 112, 89, 771
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\PageTable.cpp", "C++", 498, 0, 0, 93, 118, 709
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\PageTable.h", "C++", 309, 0, 0, 87, 31, 427
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\SVM.cpp", "C++", 541, 0, 0, 100, 130, 771
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\SVM.h", "C++", 215, 0, 0, 33, 21, 269
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\Vmcb.h", "C++", 500, 0, 0, 17, 21, 538
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\main.cpp", "C++", 84, 0, 0, 7, 13, 104
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\main.h", "C++", 27, 0, 0, 2, 6, 35
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\x64\Debug\AMDVTDriver.Build.CppClean.log", "Log", 0, 0, 26, 0, 1, 27
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\x64\Debug\AMDVTDriver.log", "Log", 0, 0, 8, 0, 3, 11
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\x64\Release\AMDVTDriver.Build.CppClean.log", "Log", 0, 0, 26, 0, 1, 27
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\x64\Release\AMDVTDriver.log", "Log", 0, 0, 9, 0, 3, 12
"Total", "-", 4485, 95, 69, 625, 879, 6153
